Availability Information,Related Information,Status,Availability Status
"Estimated Availability: September 2, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
"Estimated Availability: September 16, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
"Estimated Availability: September 7, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
"Estimated Availability: September 1, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
"Estimated Availability: September 15, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
"Estimated Availability: September 14, 2022","Bracco, in conjunction with FDA, has initiated a temporary importation of Iomeron® (iomeprol injection) into the U.S. market to address drug shortages.  To place an order, please contact Bracco Customer Service at 1-877-272-2269 or at Bracco.otc@diag.bracco.com. For more information see Bracco’s website: https://imaging.bracco.com/us-en/products/ct-ct-colonography/iomeron",Current,not available
"Product availability is likely impacted until end of 2022, expect stock in Q1 2023","Bayer, in conjunction with FDA has initiated a temporary importation of foreign labeled Ultravist (Iopromide) Injection into the U.S. market to address drug shortage. To place an order contact clscricustomerlogistics@bayer.com or call 1-724-940-7890.",Current,limited availability
Limited Supply; Recovery November,,Current,limited availability
"Limited Supply on Allocation, Recovery late Sep",,Current,limited availability
"Currently on backorder, next shipment Late November 2022",,Current,not available
Limited Supply Available. Next Delivery: October 2022; Estimated Recovery: March 2023,,Current,limited availability
Contact customer service at 1-800-828-9393,,Current,unclear
Releases to be intermittent – Please check wholesalers for inventory,,Current,limited availability
Limited Supply Available. Next Delivery: October 2022; Estimated Recovery: November 2022,,Current,limited availability
Next Delivery: October 2022; Estimated Recovery: November 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Backordered. Estimated availability Oct 2022,,Current,not available
Currently on backorder - next shipment anticipated Mid Oct,,Current,not available
Currently on backorder - next shipment anticipated End Oct,,Current,not available
Backordered. Next release November 2022.,Check wholesalers for inventory.,Current,not available
Next Delivery: September 2022; Estimated Recovery: February 2023,,Current,not available
Next Delivery: November 2022; Estimated Recovery: June 2023,,Current,not available
Next Delivery: October 2022; Estimated Recovery: June 2023,,Current,not available
Limited Supply Available. Next Delivery: January 2023; Estimated Recovery: March 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Backordered due to the increase in demands,,Current,not available
Next Delivery: April 2023; Estimated Recovery: June 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,,Current,limited availability
Limited Supply Available. Next Delivery: October 2022; Estimated Recovery: May 2023,,Current,limited availability
Next Delivery: November 2022; Estimated Recovery: April 2023,,Current,not available
Backordered. Next release August 2022.,Check wholesalers for inventory.,Current,not available
No additional lots are anticipated at this time.,,Current,unclear
Backorder. Estimated availability June 2022,,Current,not available
Available; Product on allocation,,Current,limited availability
Backordered; Estimated duration TBD,,Current,not available
Limited Supply Next Delivery: September 2022; Estimated Recovery: October 2022,,Current,limited availability
Limited Supply Next Delivery: December 2022; Estimated Recovery: July 2023,Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Next Delivery and Estimated Recovery: July 2023,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: February 2023; Estimated Recovery: July 2023,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Available. On allocation.,,Current,limited availability
Lots are anticipated in April; with additional inventory arriving in May.,,Current,limited availability
Next Delivery: September 2022; Estimated Recovery: April 2023,,Current,not available
Backorder in the U.S. due to a manufacturing delay,,Current,not available
Currently unavailable.  Next release October 2022.,,Current,not available
Currently unavailable. Next release October 2022.,,Current,not available
No supply constraint or anticipated shortage,,Current,available
No longer on allocation; recovery to normal inventory levels in progress.,,Current,available
Limited Supply Next Delivery and Estimated Recovery: October 2022,Demand increase for the drug,Current,limited availability
Next Delivery: November 2022; Estimated Recovery: March 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Product shipped to and available in wholesalers. Additional shipment end of May 2022. Increased supply available in mid-June.,,Current,available
Inventory depleted.,,Current,not available
Limited Supply on Allocation; Recovery late June 2022,,Current,limited availability
Limited Supply on Allocation; Recovery mid-July 2022,,Current,limited availability
Backordered. Available early March 2022.,,Current,limited availability
Limited Supply Available. Next Delivery: September 2022; Estimated Recovery: November 2023,,Current,limited availability
This presentation is on backorder. Product will be available September 2022,,Current,not available
Limited quantities available. More quantities will be available in coming weeks/months.,,Current,limited availability
Limited Supply Recovery Q1 2023,,Current,limited availability
Limited supply. Recovery Q1 2023,,Current,limited availability
Available:  Recovery Q1 2023,,Current,unclear
Limited availability; Intermittent supply disruption will continue through November 2022,Localized short term stock outages in pharmacies,Current,limited availability
Limited availability; Intermittent supply disruption will continue through October 2022,Localized short term stock outages in pharmacies,Current,limited availability
"Distribution of this dose temporarily paused, resumption of supply expected towards the end of 2022.",,Current,not available
Currently unavailable; Resumption of supply expected towards the end of 2022.,,Current,not available
Next Delivery: September 2022; Estimated Recovery: January 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: November 2022; Estimated Recovery: December 2022,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Available to Contracted Customers Only,,Current,limited availability
Product available for contracted customers,,Current,limited availability
Limited supply; Recovery August,,Current,limited availability
Supply available on allocation,,Current,limited availability
"Limited Supply on Allocation, Recovery 2023",,Current,limited availability
Product available for contracted customers.,,Current,limited availability
Backordered. Next release June 2022.,,Current,not available
Next Delivery and Estimated Recovery: March 2023,,Current,not available
Backordered. Next release Q4-2022.,,Current,not available
Next Delivery: October 2022; Estimated Recovery: August 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
"Currently available, in stock, Production is ongoing",,Current,available
"On backorder. Next batch will be available in April 2022, and the current demand can be fulfilled by May 2022.",,Current,not available
Available; Next batch will be available May 2022.,,Current,limited availability
Limited Supply Available. Next Delivery: September 2022; Estimated Recovery: May 2023,,Current,limited availability
Next Delivery: September 2022; Estimated Recovery: October 2023,,Current,not available
Next Delivery: February 2023; Estimated Recovery: March 2023,,Current,not available
"Backordered, Next release August 2022",,Current,not available
Backordered Next release July 2022,,Current,not available
Information pending,,Current,unclear
"Product Available. Distributed by Chartwell. For inquiries, call Customer Service number 845-268-5000  Ext: 510.",,Current,available
Limited Availability (until 6.30.22),,Current,limited availability
Availability through wholesalers: not available. Estimated duration of supply shortage: 3-18 months.,,Current,not available
Currently on backorder.,,Current,not available
Backordered. Next release Q4 - 2022.,,Current,not available
Out of stock.,,Current,not available
Backordered,Re-supply October 2022.,Current,not available
"This product is currently available on allocation., At least 6 months until it is off allocation",,Current,limited availability
Out of stock; Estimated release dates to be determined,,Current,not available
On allocation.,,Current,limited availability
Unavailable. Estimated availability: February 2024,,Current,not available
Estimated availability December 2023,,Current,not available
Limited supply available,Teva is manufacturing and distributing consistent with historic levels. We continue to see unprecedented demand.,Current,limited availability
Inventory on hold pending further assessment,Inventory on hold pending further assessment,Current,unclear
Depleted,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: August 2023; Estimated Recovery: December 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Discontinuation,,To Be Discontinued,discontinued
MADE TO ORDER PRODUCT; Estimated Supply December 2023,Product is manufactured and labeled  for Blue Point Laboratories on a made to order basis,Current,limited availability
Next Delivery: September 2023; Estimated Recovery: December 2023,,Current,not available
Limited Supply Available. Next Delivery: September 2023; Estimated Recovery: March 2024,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Next Delivery: March 2024; Estimated Recovery: December 2024,,Current,not available
Next Delivery: October 2023; Estimated Recovery: March 2024,,Current,not available
Next Delivery: January 2024; Estimated Recovery: June 2024,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: October 2023; Estimated Recovery: December 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Next Delivery: October 2023; Estimated Recovery: December 2023,,Current,not available
Next Delivery: November 2023; Estimated Recovery: March 2024,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: January 2024; Estimated Recovery: June 2024,,Current,limited availability
Limited Supply Available. Next Delivery: September 2023; Estimated Recovery: June 2024,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Limited Supply Available. Next Delivery and Estimated Recovery: September 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Currently on backorder - next shipment November 2023,,Current,not available
Next Delivery and Estimated Recovery: March 2025,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: October 2023; Estimated Recovery: June 2024,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: September 2023; Estimated Recovery: June 2024,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: September 2023; Estimated Recovery: March 2024,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery and Estimated Recovery: September 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
"Stock Available; Inventory allocating to orders, 111 days coverage","Manufacturing resumed, manufacturing and packaging plans being put together.",Current,limited availability
On allocation; full availability in November 2023,"Distributed by BPI Labs, LLC",Current,limited availability
Currently on backorder - next shipment in November 2023,,Current,not available
"Unavailable, 75 days","Manufacturing resumed, manufacturing and packaging plans being put together.",Current,not available
Limited availability. Next release December 2023.,Check wholesaler inventory,Current,limited availability
Next delivery: September 2023; Estimated recovery: December 2023,,Current,not available
Next delivery: October 2023; Estimated recovery: December 2023,,Current,not available
Limited Supply Available. Next delivery: November 2023; Estimated recovery: December 2023,,Current,limited availability
Next delivery: November 2023; Estimated recovery: December 2023,,Current,not available
Limited Supply Available. Next delivery: September 2023; Estimated recovery: December 2023,,Current,limited availability
4 & 8 months dating available (03/31/2024 & 07/31/2024 expiry) upon request.  Check wholesalers for inventory.,Check wholesaler for inventory,Current,limited availability
On backorder; Estimated recovery: October 2023,Marketed by Sagent. New launch.,Current,not available
Available. On allocation due to high demand,Marketed by Sagent. New launch.,Current,limited availability
Not available. All imported product has been distributed.,"Qilu Pharmaceutical Co., Ltd., in coordination with the U.S. FDA and Apotex Corp., has initiated temporary importation of CISplatin Injection 50 mg/50 mL (1 mg/mL) vials into the U.S. market to address a drug shortage of CISplatin. Product is available via Apotex Corp.â€™s authorized distributors. Contact your primary wholesaler/distributor to place orders.",Current,not available
Available with intermittent releases under allocation,Marketed by Accord Healthcare. Manufacturing has resumed and new batches are being planned.,Current,limited availability
Backordered. Next release October 2023.,,Current,not available
Next Delivery and Estimated Recovery: November 2023,,Current,not available
Estimated Recovery: December 2023,,Current,not available
Estimated Recovery: November 2023,,Current,not available
Backorder. Estimated availability TBD,,Current,not available
Available on Allocation; Recovery December 2023,,Current,limited availability
Not available. Shortage duration not available.,Inventory on hold pending further assessment.,Current,not available
Product is available.,,Current,available
Product is currently on back order with Smith and Nephew. Shortage duration is unknown at this time.,,Current,not available
Product is available. Additional volumes expected to early 2024.,Distributed by Woodward Pharma Services LLC (248) 308-1120 Ext 2,Current,available
Unavailable; Anticipate availability January  2024,,Current,not available
"Available, We have adequate inventory to support demand",,Current,available
Next release December 2023.,Check wholesaler inventory,Current,not available
Backordered.  Next release December 2023.,Check wholesaler inventory,Current,not available
Currently on backorder - next shipment Jan,Intermittent availability expected,Current,not available
On long-term backorder,Check wholesalers for inventory,Current,not available
Next release not available at this time.,Check wholesalers for inventory.,Current,not available
Limited Supply Available,Limited Supply Available. Check Wholesaler for Availability,Current,limited availability
Available on allocation.,,Current,limited availability
Next release March 2024.,Check wholesalers for inventory.,Current,not available
Next release date not available at this time. Check wholesaler inventory.,Check wholesaler inventory,Current,unclear
Available. Check wholesaler for inventory,Check wholesaler inventory,Current,available
"Currently unavailable, delayed until November 8th",Estimated availability September 2023,Current,not available
"Unavailable; Resupply November 20, 2023",,Current,not available
Available; Currently have 7.5 months of coverage,,Current,available
Limited Supply Available.  Estimated Recovery: December 2023,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Next Delivery & Estimated Recovery: September 2023,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Available on Allocation,,Current,limited availability
Limited Availability through January 2024.,,Current,limited availability
Limited Availability through March 2024.,,Current,limited availability
Limited Availability mid-December 2023 to January 2024.,,Current,limited availability
Available through limited distribution by AllianceRx Walgreens Specialty Pharmacy.,,Current,limited availability
Next Delivery: January 2024; Estimated Recovery: September 2024,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: July 2024; Estimated Recovery: September 2024,Shortage per Manufacturer: Manufacturing Delay,Current,not available
"Product available until Mid-November, no availability after November 2023: Estimated Shortage duration TBD",,Current,limited availability
Next Delivery: February 2025; Estimated Recovery: March 2025,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Next Delivery: January 2024; Estimated Recovery: March 2024,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
Limited Supply Available. Next Delivery: February 2024; Estimated Recovery: March 2024,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Backorder. Estimated availability October 2023,,Current,not available
Temporarily Unavailable,,Current,not available
Available. Check wholesaler for inventory.,Check wholesalers for inventory,Current,available
"Available, To order call 1-812-399-0479",,Current,available
Anticipated availability: June 2024,Delay is due to manufacturing delays at the contract manufacturing facility.,Current,not available
Product available through all wholesalers,,Current,available
No longer ordering APD NDC,,Current,discontinued
"Available, Available. Check wholesaler for inventory.",Check wholesaler inventory,Current,available
"This presentation is on backorder., Recovery date TBD",Recovery date has not been determined at this time.,Current,not available
Product available with short expiration,,Resolved,available
Limited Supply Available. Next Delivery: September 2023; Estimated Recovery: December 2023,,Current,limited availability
Next release December 2023. Check wholesalers for inventory.,Check wholesaler for inventory,Current,not available
"Available, N/A",,Current,unclear
"Limited Supply Available
Next Delivery: December 2023;
Estimated Recovery: March 2024",,Current,limited availability
Next Delivery: Dec 2023; Estimated Recovery: January 2024,,Current,not available
Next Delivery and Estimated Recovery: January 2024,,Current,not available
Next Delivery: January 2024; Estimated Recovery: April 2024,,Current,not available
Limited Supply Available. Next Delivery: April 2024; Estimated Recovery: June 2024,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,limited availability
Available - Check wholesaler for inventory,Check wholesalers for inventory,Current,unclear
"Unavailable, Resupply expected January 2024, Mar-25",Techinical transfer of drug product,Current,not available
Limited supply,,Current,limited availability
Stocked Out,,Current,not available
Tentatively available by end of October 2023,Distributed by Sagent Pharmaceuticals: 1-866-625-1618,Current,not available
Available by September 2023,Distributed by Sagent Pharmaceuticals: 1-866-625-1618,Current,not available
Next Delivery and Estimated Recovery: December 2023,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Backordered. Next release December 2023. Check wholesaler for inventory.,Check wholesaler for inventory.,Current,not available
Limited Supply; Recovery: May 2024,,Current,limited availability
Limited supply; Recovery: June 2024,FOR INTRAVENOUS AND INTRAMUSCULAR USE. 30mg/mL (1 mL fill volume/ 2 mL container),Current,limited availability
RFID NDC 76045-0209-10 release January 2024.,Check wholesaler for inventory.,Current,not available
Replenishment due in January,,Current,not available
Next release February 2024.  Check wholesalers for inventory.,Check wholesalers for inventory.,Current,not available
Next release January 2024. Check wholesaler for inventory.,Check wholesalers for inventory.,Current,not available
Re-supply in January 2024,,Current,not available
Next Delivery: October 2024; Estimated Recovery: December 2024,Shortage per Manufacturer: Manufacturing Delay,Current,not available
Available to current customers,,Current,limited availability
Currently available in limited quantities,,Current,limited availability
Allocating limited inventory,,Current,limited availability
Available; Shortage anticipated in December 2023,,Current,limited availability
Available; Shortage anticipated in January 2024,,Current,limited availability
Available; Shortage anticipated in October 2023,,Current,limited availability
"On backorder, Estimated shortage duration December 2023",,Current,not available
Available; Shortage anticipated in September 2023,,Current,limited availability
Allocating limited supply,,Current,limited availability
Next release December 2023. Check wholesaler for inventory.,Check wholesalers for inventory,Current,not available
"Unavailable, Currently unavailable. Estimated shortage duration is January 2024",,Current,not available
Limited Supply Available. Next Delivery: September 2023; Estimated Recovery: December 2023Estimated recovery: September 2023,,Current,limited availability
"Limited Availability, Manufacturing resumed",,Current,available
"Not Available, Manufacturing pending",,Current,not available
"Stock Available; Inventory allocating to orders, > 365 days coverage","Manufacturing resumed, manufacturing and packaging plans being put together.",Current,limited availability
Limited Availability. Additional POâ€™s are in the pipeline,,Current,limited availability
"Not commercialized, N/A",Non-preferred customer packaging configuration,Current,not available
Supplying existing customers with possibility to expand mid-Novemebr 2023,Supplying existing customers with possibility to expand mid-Novemebr 2023,Current,limited availability
Out of Stock; new lot available in December 2023,,Current,not available
Out of Stock; new lot available in November 2023,,Current,not available
Not currently marketing,,Current,discontinued
On backorder through November 2023,,Current,not available
Supply available to current customers only,,Current,limited availability
Available; Shipping on allocation to all customers,,Current,limited availability
Available for direct orders.,,Current,available
"On Allocation, Recovery late November",,Current,limited availability
"Check wholesaler, ETA January 2024",,Current,not available
Product available in all wholesalers,,Current,available
Takeda will be ceasing manufacturing of Natpara at the end of 2024 with a priority to maintain treatment continuity for patients enrolled in the U.S. Special Use Program until inventory is depleted or expired. Please refer to the following link for more details â€“ https://www.takeda.com/en-us/newsroom/statements/2022/takeda-to-discontinue-manufacturing-of-natpar-natpara/,,Current,discontinued
The 100 mcg cartridge is no longer available and Takeda is unable to resupply prior to ceasing of manufacturing of Natpara at the end of 2024. Please refer to the following link for more details â€“ https://www.takeda.com/en-us/newsroom/statements/2022/takeda-to-discontinue-manufacturing-of-natpar-natpara/,,Current,discontinued
Next delivery: TBD; Estimated recovery 2024,,Current,unclear
Limited Supply. Next delivery: September 2023; Estimated recovery: Q2 2024,On allocation. Check Wholesaler for Availability,Current,limited availability
Limited Supply Available. Next Delivery and Estimated Recovery: December 2023,,Current,limited availability
Product Expected January 2024,,Current,not available
Product is temporarily on backorder,Additional lots will be available in the December 2023 timeframe. Product will be made available as it is released.,Current,not available
Backordered. Next release January 2024.,Backordered. Next release January 2024.,Current,not available
This presentation is currently unavailable.,This presentation is currently unavailable.,Current,not available
Not available. Long-term backorder for all NDCs. No estimated release date at this time.,,Current,not available
Available in January as NDC 25021-687-05,,Current,available
Not currently offered,,Current,not available
Limited supply; Recovery: February 2024,Tamarang is the application holder and Baxter is the distributor/labeler,Current,limited availability
Limited supply; Recovery: April 2024,,Current,limited availability
Limited availability.  Estimated shortage duration TBD,,Current,limited availability
Limited availability through end of 2023,,Current,limited availability
Next Delivery and Estimated Recovery: June 2024,Check Wholesaler for Availability Shortage per Manufacturer: Manufacturing Delay,Current,not available
"Backorder due to the increase in demands, We are regularly releasing this product but demands are higher than what we can supply. We put this product under allocation program.",old NDC 0548-3352-00,Current,limited availability
Next release date not available at this time.,,Current,not available
Limited supply on allocation; Recovery: December 2024,,Current,limited availability
Product is not available as of today,,Current,not available
Sodium Chloride Injection in RFID presentation is not available and the plan is to discontinue this presentation from sales,,Current,discontinued
"Limited Supply On Allocation, Recovery Q1 2024",,Current,limited availability
"Next Delivery and Estimated Recovery: January 2024, Shortage per Manufacturer: Manufacturing Delays",,Current,limited availability
"Next Delivery: April 2024
Estimated Recovery: May 2024
, Shortage per Manufacturer: Manufacturing Delays",,Current,limited availability
Intermittent supply until end of Q1 2024,,Current,limited availability
Next Delivery: September 2023; Estimated Recovery: Q1 2024,,Current,not available
Next Delivery and Estimated Recover: January 2024,,Current,not available
Next Delivery and Estimated Recvoery: December 2023,,Current,not available
"Limited Supply, expected supply stability mid-2024",,Current,limited availability
Not Available.  Next supply expected in Feb 2024 with supply stability by mid-2024,,Current,not available
Not Available.  Next supply expected in Jan 2024 with supply stability by mid-2024,,Current,not available
"Limited Supply on Allocation, Recovery Q1 2024",,Current,limited availability
Next Delivery: September 2023; Estimated Recovery: January 2024,,Current,not available
"Availability through wholesalers: Unavailable,  3-18 months",There are no therapeutic equivalents.,Current,not available
6 month expiry (4/30/2024 expiry) dating available by request.,Check wholesaler inventory,Current,limited availability
Backordered. Next release expected December 2023.,Check wholesalers for inventory,Current,not available
Estimated Availability: September 2024,,Current,not available
"Unavailable, 45-60 Days",Manufacturing Capacity,Current,not available
"Unavailable, 15-30 Days",Inventory At Dc; Awaiting Quality Review,Current,not available
Limited Supply Available. Next Delivery: August 2024; Estimated Recovery: September 2024,Check Wholesaler For Availability Shortage Per Manufacturer: Manufacturing Delay,Current,limited availability
"Unavailable, 30 Days",Batches Ready At Manufacturing Facilty Awaiting Qa Release,Current,not available
"Available, Not Applicable","Distributed By Slate Run Pharmaceuticals, Llc, 1-844-529-8988",Current,available
Available Through Limited Distribution By Alliancerx Walgreens Specialty Pharmacy.,,Current,limited availability
Pending Information,Distributed By Civica,Current,unclear
Product Anticipated 11/21/2022,,Current,not available
Out Of Stock,Estimated Delivery August 2024,Current,not available
Not Available At This Time.,,Current,not available
"Unavailable, Unknown",,Current,not available
Available On Allocation,,Current,limited availability
"Limited Availability, 30 Days",Short Dated Inventory Available; Fresh Manufacturing In Process At Plant Site,Current,limited availability
Next Delivery: August 2024; Estimated Recovery: September 2024,Shortage Per Manufacturer: Manufacturing Delay,Current,not available
"Product Will Be Made Available As It Is Released, Tbd",,Current,unclear
